프로그램ID,프로그램세부ID,프로그램명,프로그램주제,주관부서(상위),주관부서(하위),시작일,종료일,프로그램 소개,프로그램 태그,프로그램 구분,프로그램유형1,프로그램유형2,교육방법,프로그램 시간,마일리지,참여자수,이수자수,핵심역량점수1,핵심역량점수2,핵심역량점수3,핵심역량점수4,핵심역량점수5,핵심역량점수6,핵심역량점수7,핵심역량점수8
4957,4340,2024년 중어중문학부 취업 특강 시리즈,1차 중화권의 관광트렌드 변화와 스타트업 (김만기 서울관광재단 국제관광 MICE본부장),문과대학,중어중문학부,24-5-30 오후 5:00,24-5-30 오후 6:30,"[중어중문학부] 2024년 전공별 진로·취업 비교과 프로그램- 진로·취업 역량강화를 위해 3회에 걸쳐 특강자분들의 업무 및 직무에 대해 알아보고, 경험을 공유함으로써 취업역량을 강화시키기 위한 추계 취업 특강을 진행합니다.","관광트렌드,스타트업,실무자특강,전공별진로취업,중어권,중어중문학부,직무특강",비교과 (비학점),취업,전공별진로취업,대면,2,2000,34,26,,2,,,,,,
4868,4225,[재맞고] 2024 진로설정 및 탐색 프로그램,[재맞고] 2024 진로설정 및 탐색 프로그램-2차,대학일자리플러스센터,대학일자리플러스센터,24-5-31 오전 10:00,24-5-31 오후 5:00,#NAME?,"NCS,대학일자리센터,데이터수집,데이터융합,발표,빌드업,사업계획,아이디어회의,자료분석,재맞고,정보수집,조직감성이해,직무,직업기초능력,진로,진로계획,진로설정,진로탐색,커뮤니케이션,팀플,프로젝트",비교과 (비학점),진로,특강/워크숍/캠프,대면,6,5000,56,27,3,,,3,,,,
4928,3704,2024 상반기 국제교류 프로그램 박람회,국제교류 프로그램 온라인 박람회,국제협력팀﻿,국제협력팀﻿,24-5-31 오전 10:00,24-5-31 오후 4:30,"[2024 상반기 국제교류 프로그램 박람회]
세계 각국에서 국제교류 프로그램을 마치고 돌아온 기파견 학생들의 생생한 경험담을 공유하고, 자유롭게 질의 응답하는 박람회 프로그램","경험담,교환,국제,국제교류,국제교류프로그램,박람회,세계각국,참가후기,해외,후기",비교과 (비학점),학생활동,해외연수/국제교류,대면 비대면 병행(실시간),1,1000,232,212,,,,,,,1,
4928,3945,2024 상반기 국제교류 프로그램 박람회,국제교류 프로그램 오프라인 박람회,국제협력팀﻿,국제협력팀﻿,24-5-31 오전 10:00,24-5-31 오후 4:30,"[2024 상반기 국제교류 프로그램 박람회]
세계 각국에서 국제교류 프로그램을 마치고 돌아온 기파견 학생들의 생생한 경험담을 공유하고, 자유롭게 질의 응답하는 박람회 프로그램","경험담,교환,국제,국제교류,국제교류프로그램,박람회,세계각국,참가후기,해외,후기",비교과 (비학점),학생활동,해외연수/국제교류,대면 비대면 병행(실시간),1,1000,28,28,,,,,,,1,
5009,0,[중앙도서관]퀄트릭스(Qualtrics) 이용 교육 특강,[중앙도서관]퀄트릭스(Qualtrics) 이용 교육 특강,중앙도서관,학술정보지원팀,24-5-31 오후 1:00,24-5-31 오후 2:00,[중앙도서관]퀄트릭스(Qualtrics) 이용 교육 특강,"Qualtrics,숙명DSS센터,인문사회융합인재양성사업단,중앙도서관,퀄트릭스",비교과 (비학점),학습,워크숍/특강,대면,1,1000,45,25,1,,,,,,,
4965,0,[디지털휴머니티센터 x 대웅제약] 웰다 혈당다이어트 프로그램,[디지털휴머니티센터 x 대웅제약] 웰다 혈당다이어트 프로그램,총장직속기구,디지털휴머니티센터,24-6-3 오전 9:00,24-7-31 오후 6:00,어렵지 않고 오랜 기간 유지 가능한 혈당 다이어트의 과학적인 원리와 방법을 이해하고 실제 삶에 적용하여 건강한 삶을 영위한다.,"건강,건강관리전문가,다이어트,대웅제약,장학금,제약회사,취업,취업연계,학생코치",비교과 (비학점),심리,특강/워크숍/행사,비대면(실시간+녹화),5,0,160,77,2.5,,,2.5,,,,
4977,0,[인권아라] 24-1 온라인 인권특별강연회 `혐오와 차별 무엇이 문제인가?`,[인권아라] 24-1 온라인 인권특별강연회 `혐오와 차별 무엇이 문제인가?`,인권·성평등센터,인권·성평등센터,24-6-3 오전 10:30,24-6-28 오후 11:59,24년 1학기에 열리는 숙명인권아카데미 인권아라 Class 2. 인권특별강연회 입니다.,"비대면,인권,인권·성평등센터,인권아카데미,차별,혐오,혐오와차별",비교과 (비학점),학습,워크숍/특강,비대면(녹화),2,1000,202,120,,,,,1,,,1
4950,4336,임용특강,"교원임용선정 2차 시험 준비(김희원, 동대문중)",이과대학,체육교육과,24-6-3 오후 6:00,24-6-3 오후 8:30,"임용 특강 프로그램은 졸업 후 교사로 활동 중인 선배들 강의를 통해 지식과 경험을 재학생들과 공유하기 위한 것으로, 학생들의 임용 시험 대비와 교육 현장에서의 역량 강화를 지원하고자 합니다.","1차시험,2차시험,교유견장,네트워킹,문재해결,선배,선배특강,시험대비,실무자특강,역량강화,임용시험대비,임용특강,전공별진로취업,체육교육과",비교과 (비학점),취업,전공별진로취업,대면 비대면 병행(실시간),2,2000,10,10,,1,,1,,,,
4922,4317,[재맞고] 2024 유통업 직무교육,기업탐방,대학일자리플러스센터,대학일자리플러스센터,24-6-5 오후 1:30,24-6-5 오후 4:30,"유통업 전반 및 실무에 대한 이해도를 높이고 직무 역량 강화와 취업 기회 확대
유통업 합격 전략 세우기","기업탐방,노하우,대학일자리센터,롯데홈쇼핑,면세점,오프라인마켓,유통업,이커머스,직무교육,직무이해,직무탐색,직무특강,채용설명,채용전형,취업전략,취업준비,쿠팡,합격자소서,합격전략,현대홈쇼핑,현직자멘토링,홈플러스",비교과 (비학점),취업,특강/워크숍/캠프,비대면(실시간),3,2000,15,12,1.5,1.5,,,,,,
5006,0,[미디어학부]선배 업고 튀어_2024 미디어학부 선배와의 만남(3),[미디어학부]선배 업고 튀어_2024 미디어학부 선배와의 만남(3),미디어학부(대학),미디어학부,24-6-7 오후 8:00,24-6-7 오후 9:30,미디어학부를 졸업하고 다양한 곳으로 취업한 선배들을 초대해 여러분의 진로 선택과 결정에 도움을 주고자 비교과 프로그램을 준비하게 되었습니다.,"PD,PO,PW,미디어학과,미디어학부,서비스기획,요기요,위대한상상,진로연계,진로연계비교과,진로취업특강",비교과 (비학점),취업,전공별진로취업,비대면(실시간),1,1000,28,28,,1,,,,,,
4950,4338,임용특강,"교원임용선정 2차 시험 준비(양서영, 서원중)",이과대학,체육교육과,24-6-3 오후 6:00,24-6-3 오후 8:30,"임용 특강 프로그램은 졸업 후 교사로 활동 중인 선배들 강의를 통해 지식과 경험을 재학생들과 공유하기 위한 것으로, 학생들의 임용 시험 대비와 교육 현장에서의 역량 강화를 지원하고자 합니다.","1차시험,2차시험,교유견장,네트워킹,문재해결,선배,선배특강,시험대비,실무자특강,역량강화,임용시험대비,임용특강,전공별진로취업,체육교육과",비교과 (비학점),취업,전공별진로취업,대면 비대면 병행(실시간),2,2000,10,10,,1,,1,,,,
4745,4189,신소재물리전공 산학연 맞춤형 진로 탐색을 위한 Colloquium,신소재물리전공(응용물리전공)_미국 앨러바마대 홍양기 교수님,공과대학,공과대학,24-6-4 오후 5:00,24-6-4 오후 7:00,첨단소재.전자융합부 신소재물리전공에서는 급변하는 기술 경향을 파악하고 성공적인 취업과 진로 탐색을 돕기 위해서 “산학연 맞춤형 진로 탐색을 위한 Colloquium” 비교과 과정을 진행합니다.,"딥러닝,산학연계비교과,신소재물리전공,연구경향,응용물리전공,인재상,진로탐색,최신기술,콜로퀴움",비교과 (비학점),학습,산학연계비교과,대면,2,2000,10,10,2,,,,,,,
5021,4364,[도서관] 6월 정기 학술정보이용교육,[6/5(수) 16:30] (오프라인) A+ 보고서 작성을 위한 자료검색법,중앙도서관,학술정보운영팀,24-6-5 오후 4:30,24-6-5 오후 5:30,"도서관에서 시행하는 정기 학술정보 이용교육입니다.
학술정보 이용교육을 통해 도서관 소장자료, 구독자료 등의 학술정보를 효과적으로 검색하고 활용하는 방법을 배워보세요.","DBPIA,RefWorks,교보문고,논문작성,도서관,동영상강좌,오디오북,이용교육,이용법,자료검색법,전자책,참고문헌,학술DB,학술논문,학술정보",비교과 (비학점),학습,독서,대면 비대면 병행(실시간),1,1000,5,3,0.4,,0.6,,,,,
4856,4207,가구 디자인의 프로세스의 이해 및 실무 능력 강화,라이프스타일 분야의 트렌드와 통합적 사고의 필요성,미술대학,환경디자인과,24-6-5 오후 5:00,24-6-5 오후 7:00,"•1 회차 [탐방] 윤현상재 머티리얼 라이브러리 (4/3, 5:00-7:00)
장소: 윤현상재 머티리얼 라이브러리(복합 문화 예술 공간) 

• 2 회차 [특강] (5/1, 4:00-6:00)
강사. 삼성 디자인센터 채진우 디자이너 (CMF)
장소: 숙명여대

• 3 회차. [특강] (5/8 5:00-7:00)
주제: 자신만의 색깔(디자이너의 역량)을 가진 디자이너가 필요한 이유
강사: WGNB 양민우 디자이너 / 장소: 숙명여대

• 4 회차 [특강] (6/5, 5:00-7:00)
주제: 라이프스타일 분야의 트렌드와 통합적 사고의 필요성 
- 강사: 이지현 팀장님 / 장소: 숙명여대

• 5회차 [탐방] 전시: VOICES, 보이스 (필립 파레노) (6/19, 2:00-4:00)
장소: 리움 미술관","디자이너,디자인,산학연계비교과,실무역량강화,작품관람,작품연계,전시관람,체험,탐방,특강,프로세스",전공교과연계 비교과 (학점불인정),학습,산학연계비교과,대면,2,2000,10,10,0.6,,,,,0.5,,0.9
4963,0,2024_관현악과(1차)_HORN MASTERCLASS,2024_관현악과(1차)_HORN MASTERCLASS,음악대학,관현악과,24-5-28 오후 2:00,24-5-28 오후 5:00,"2024 전공별 진로·취업 비교과 프로그램 (1차) - 취업역량 강화를 위해 서울대학교에 재직중이신 김홍박 교수님을 초청하여 대학원 진학을 위한 실기준비 방법이나 실력향상, 연습방법에 대해 알아보고, 다양한 경험을 공유함으로써 취업역량을 강화시키기 위한 프로그램입니다.","관현악과,마스터클래스,서울대학교,오케스트라,전공별진로취업,호른,호른마스터클래스",비교과 (비학점),취업,전공별진로취업,대면,3,2000,14,14,1.5,1.5,,,,,,
5015,2481,[재맞고] 2024 상반기 영문이력서 작성법 및 영어 면접 전략 특강,영문이력서 및 커버레터 작성법,대학일자리플러스센터,대학일자리플러스센터,24-5-28 오후 3:00,24-5-28 오후 5:00,영문이력서/커버레터 작성법과 영어 면접 대비 전략 특강,"글로벌역량강화,대학일자리플러스센터,면접전략,비대면,실시간,영문이력서,영어면접,이력서,작성법,커버레터,특강",비교과 (비학점),취업,특강/워크숍/캠프,비대면(실시간),2,2000,97,68,2,,,,,,,
4972,0,[대학원 비교과] 미술관·박물관의 직무별 이해와 탐색,[대학원 비교과] 미술관·박물관의 직무별 이해와 탐색,대학원,미술사학과,24-5-28 오후 5:00,24-7-5 오후 6:00,미술관·박물관의 각 분야별 전문가의 특강을 통하여 미술사 전공 학생들의 진로의 이해와 탐색 및 직무 역량 강화,"국립중앙박물관,국립현대미술과,대학원비교과,미술관,미술사학과,박물관,수장고,숙명여자대학교,실무자특강,아카이브,유물,전시기획,특강,학예사,현직자특강",전공교과연계 비교과 (학점불인정),학습,산학연계비교과,대면,12,8000,17,16,3,3,3,3,,,,
4944,4318,[진로연계] 한국어문학부 진로 탐색 프로그램,[동문 선배 특강] 봉연근 동문 (한국방송광고진흥공사),문과대학,한국어문학부,24-5-28 오후 5:30,24-5-28 오후 7:30,"<한국어문학부 진로 탐색 프로그램>은 한국어문학부 학생들이 전공 분야의 진로에 대한 정보를 얻고, 탐색해 볼 수 있는 기회를 제공합니다. 외부에서 활발히 활동하고 있는 동문 선배들 특강과 더불어 전공교수와의 진로 간담회를 분야별로 진행하기에, 학생들이 자신의 적성에 맞는 진로를 탐색해 보고, 해당 분야로 진출하는 데 도움을 주고자 합니다. 이 프로그램을 통해 진출분야에 대한 정보를 미리 확인해 보고, 구체적인 진로를 설계해 볼 수 있을 것입니다.","공공기관,교직,기자,동문특강,선배특강,실무자특강,언론사,정부기관,진로연계비교과,진로탐색,한국어문학부",비교과 (비학점),취업,전공별진로취업,대면,2,2000,48,39,,0.8,0.6,,0.6,,,
5020,0,[재맞고] 5/29(수) 두산에너빌리티 채용상담회,[재맞고] 5/29(수) 두산에너빌리티 채용상담회,대학일자리플러스센터,대학일자리플러스센터,24-5-29 오전 10:00,24-5-29 오후 5:00,[현장 대면 캠퍼스 리크루팅] 5/29(수) 두산에너빌리티 채용상담회,"두산에너빌리티,설명회,인턴,일자리플러스센터,직무상담회,채용,채용상담,채용설명회,채용연계형",비교과 (비학점),취업,설명회/박람회,대면,1,1000,103,99,0.7,0.3,,,,,,
4891,0,2024_관현악과(1차)_FLUTE MASTERCLASS,2024_관현악과(1차)_FLUTE MASTERCLASS,음악대학,관현악과,24-5-29 오전 10:00,24-5-29 오후 1:00,"2024 전공별 진로·취업 비교과 프로그램 (1차) - 취업역량 강화를 위해 연세대학교에 재직중이신 조성현 교수님을 초청하여 대학원 진학을 위한 실기준비 방법이나 실력향상, 연습방법에 대해 알아보고, 다양한 경험을 공유함으로써 취업역량을 강화시키기 위한 프로그램입니다.","관현악과,마스터클래스,플룻,플룻마스터클래스",비교과 (비학점),취업,전공별진로취업,대면,3,2000,11,11,1.5,1.5,,,,,,
4826,0,[LCB외식경영전공] 진로연계2_CJ푸드빌 기업설명회(수업내 특강),[LCB외식경영전공] 진로연계2_CJ푸드빌 기업설명회(수업내 특강),문과대학,르꼬르동블루외식경영전공,24-5-29 오후 1:30,24-5-29 오후 2:45,"[2024학년도 진로연계 비교과 프로그램] 2. CJ푸드빌 기업설명회(수업내 특강)
CJ푸드빌 기업설명회을  통해  전공 분야의 업무 환경에 대한 정보 및 전공에 대한 실질적 이해와 진로설계에 대한 도움을  제공하고자 한다.","CJ푸드빌,LCB,기업설명회,진로연계,채용설명회",비교과 (비학점),진로,진로연계비교과,대면,1,1000,103,56,,0.4,,,0.3,,0.3,
5003,0,[미디어학부]선배 업고 튀어_2024 미디어학부 선배와의 만남(2),[미디어학부]선배 업고 튀어_2024 미디어학부 선배와의 만남(2),미디어학부(대학),미디어학부,24-5-29 오후 2:00,24-5-29 오후 4:00,미디어학부를 졸업하고 다양한 곳으로 취업한 선배들을 초대해 여러분의 진로 선택과 결정에 도움을 주고자 비교과 프로그램을 준비하게 되었습니다.,"PD,미디어학과,미디어학부,엔터,진로연계,진로연계비교과,진로취업특강,카카오,카카오엔터테인먼트",비교과 (비학점),취업,특강/워크숍/캠프,대면,2,2000,5,3,,2,,,,,,
4925,4068,[재맞고] [전학년 진로 미결정자 대상] 숙명 커리어 클라쓰(SookMyung Career Class),[3단계] 직업세계분석을 통한 `하고싶은 일` 찾기,대학일자리플러스센터,대학일자리플러스센터,24-5-23 오후 3:00,24-5-23 오후 5:00,"진로탐색 및 설계를 위한 진로 종합 프로그램으로, 자기이해 -> 직업세계이해 -> 스펙 달성 계획 수립을 통한 진로결정 역량 강화를 목적으로 함","MBTI,STRONG흥미검사,대학생활,성격,성격분석,스펙,자기이해,직무탐색,직무탐색실습,직업분석,진로,진로결정,진로고민,진로탐색,채용트렌드,커리어,커리어플래닝,플래닝실습",비교과 (비학점),진로,특강/워크숍/캠프,대면,2,2000,43,30,,1,,1,,,,
4961,0,[SW중심대학사업단] 제7회 SW인플루언서 특강,[SW중심대학사업단] 제7회 SW인플루언서 특강,SW중심대학사업단,SW중심대학사업단,24-5-23 오후 4:00,24-5-23 오후 6:00,개인의 커리어 브랜딩을 도와 더 나은 글로벌 리더를 만드는 기업 `커리어랩`의 대표의 강연을 통해 글로벌 시대에 걸맞는 글로벌 커리어 브랜딩의 동향과 트렌드를 파악할 수 있음,"SW,SW인플루언서,SW중심대학사업단,국내,링크드인,브랜딩,성공사례,인플루언서,취업성공,커리어랩,커리어브랜딩,특강,해외",비교과 (비학점),진로,특강/워크숍/캠프,비대면(실시간),2,2000,205,159,0.4,0.4,,,0.6,,0.6,
4938,4314,[도서관] 5월 정기 학술정보이용교육,[5/23(목) 16:30] 학위논문 어떻게 쓰는가?,중앙도서관,학술정보운영팀,24-5-23 오후 4:30,24-5-23 오후 5:30,"도서관에서 시행하는 정기 학술정보 이용교육입니다.
학술정보 이용교육을 통해 도서관 소장자료, 구독자료 등의 학술정보를 효과적으로 검색하고 활용하는 방법을 배워보세요.","DBPIA,RefWorks,교보문고,논문작성,도서관,동영상강좌,오디오북,이용교육,이용법,자료검색법,전자책,참고문헌,학술DB,학술논문,학술정보",비교과 (비학점),학습,독서,대면,1,1000,16,8,0.4,,0.6,,,,,
4941,4348,[2024 실무자 초청 특강 시리즈] 홍보광고업계 트렌드 및 취업전략,[05/23] 좋아서 하는 광고 (이예지 제일기획 차장),사회과학대학,홍보광고학과,24-5-23 오후 4:30,24-5-23 오후 6:00,"급격하게 변화하는 환경 속에서 홍보광고 현업에서는 어떤 변화가 일어나고 있는지 실무자들의 생생한 강의를 통해 이해하고, 홍보광고분야의 진로 설계 및 취업 준비를 위한 조언도 듣는다. 본 특강 시리즈는 직무문야별-광고기획/PR기획/크리에이티브/디지털미디어-로 총 4회에 걸쳐 진행될 것이며(회차별 90분 특강), 4회의 특강에 모두 참여한 수강생은 이수증과 더불어 홍보광고학과가 마련한 전공도서 1권씩을 선물로 받을 수 있다. (일부 특강에만 참석할 경우에도 신청이 가능하며, 마일리지는 회차별로 부여 예정임)","LINC3.0,PR,나스미디어,뉴트렌드,대홍기획,디지털마케팅,산학연계비교과,실무자초청,실무자특강,제일기획,취업,프레인,홍보광고학과",비교과 (비학점),학습,산학연계비교과,대면,2,1000,90,47,,,0.8,1.2,,,,
5004,0,[행정학과] 2024 진로 탐색 세미나,[행정학과] 2024 진로 탐색 세미나,사회과학대학,행정학과,24-5-23 오후 4:30,24-5-23 오후 6:30,행정학 및 공공인재학 전공 관련 안내,"공공인재학,세미나,전공설명회,전공학점,진로탐색,행정학,행정학과",비교과 (비학점),기타,"학과행정(전공설명회, 개강총회 등)",대면,2,0,9,9,2,,,,,,,
5005,0,[가족자원경영학과] 24-1 전공별 진로취업 프로그램_여론조사 전문기관에서 가족 전공자의 역할,[가족자원경영학과] 24-1 전공별 진로취업 프로그램_여론조사 전문기관에서 가족 전공자의 역할,생활과학대학,가족자원경영학과,24-5-23 오후 5:00,24-5-23 오후 7:00,"2024 전공별 진로취업 비교과 프로그램 
[1부] 국민건강보험공단
1. 국민건강보험공단에 대한 모든 것
2. 질의 응답
[2부] 한국갤럽조사연구소 백예슬 연구원님
1. 아동가족학 전공자로 살아보기: 삼성전기부산어린이집 7세반 담임교사
2. 가족학 전공자의 길 Research!: 대학원 프로젝트를 중심으로
3. 리서치 분야의 가족학도로 살아가기: 한국갤럽조사연구소 수행조사를 중심으로","가족자원경영학과,국민건강보험공단,선배꿀팁,선배특강,전공별진로취업,진로,취업특강,한국갤럽조사연구소",비교과 (비학점),취업,전공별진로취업,대면,2,2000,32,28,1,1,,,,,,
4911,4290,[교육학부] 4차 산업혁명 시대의 교육학 진로 탐색 비교과 프로그램,"AI 대전환과 미래교육, 영국 런던 Bett 2024에서 살펴본 AI 에듀테크 트렌드",문과대학,교육학부,24-5-24 오후 1:00,24-6-30 오전 9:00,"4차 산업혁명 시대의 교육학 진로 탐색
1. 급변하는 디지털 시대에 꼭 필요한 인문학적 역량: 마인드셋 (온라인, 녹화 강)
2. 4차 산업혁명 시대, 기업이 요구하는 인재상과 필요 역량- 인재육성 방향과 사례를 중심으로	(대면) 2024.4.30.
3. 교육 분야 빅데이터에 대한 이해와 활용 (대면) 2024.5.16.	
4. AI 대전환과 미래교육, 영국 런던 Bett 2024에서 살펴본 AI 에듀테크 트렌드 (온라인, 녹화 강의)","4차산업혁명,AI,HRD컨설팅사례,교육분야,대전환,디지털,마인드셋,미래교육,빅데이터,사례및활용,에듀테크,인문사회융합인재양성사업,인문학적역량,인재상,트렌드,필요역량,하이터치하이테크,학생간담회",비교과 (비학점),진로,특강/워크숍/캠프,대면 비대면 병행(녹화),2,2000,145,91,,1,,0.6,,0.4,,
